order_id,date,day_of_week,pickup_area,delivery_area,distance_km,dabbawala_id,customer_type,tiffin_type,tiffin_weight_kg,delivery_time_min,status,payment_mode,charge_inr,monthly_subscription,customer_feedback,return_reason
DBW00020,2022-11-25,Friday,Thane,Kurla,4.32,DW141,Hospital,Mix,2.06,36,Delivered,Digital,73.8,Yes,nan,
DBW00021,2023-01-01,Sunday,Lower Parel,Dadar,5.16,DW018,Hospital,Veg,1.87,8,Delivered,Digital,74.41,No,Poor,
DBW00022,2022-09-28,Wednesday,Worli,Thane,8.98,DW015,Corporate,Mix,2.32,48,Delivered,Digital,125.06,Yes,Good,
DBW00023,2022-05-14,Saturday,Worli,Goregaon,12.91,DW068,Corporate,Mix,1.38,48,Returned,Monthly-Pre-paid,113.51,Yes,Good,nan
DBW00024,2023-11-08,Wednesday,Malad,Bandra,10.54,DW023,Corporate,Veg,1.92,37,Delivered,Cash,115.31,No,Average,
DBW00025,2023-07-25,Tuesday,Chembur,Malad,5.58,DW075,Residential,Mix,2.12,48,Delivered,Digital,106.68,Yes,Poor,
DBW00026,2023-04-16,Sunday,Thane,Borivali,5.94,DW089,Corporate,Veg,1.49,23,Delivered,Cash,91.0,No,Excellent,
DBW00027,2022-10-21,Friday,Sion,Ghatkopar,19.25,DW042,Corporate,Non-Veg,2.36,76,Delivered,Monthly-Pre-paid,181.02,Yes,nan,
DBW00028,2023-08-24,Thursday,Bandra,Andheri,6.46,DW015,Hospital,Mix,0.97,33,Delivered,Monthly-Pre-paid,93.67,No,Poor,
DBW00029,2023-02-03,Friday,Chembur,Vikhroli,11.52,DW145,Hospital,Veg,1.38,54,Delivered,Digital,121.43,No,Good,
DBW00030,2022-11-20,Sunday,Worli,Churchgate,5.61,DW056,Residential,Non-Veg,0.95,25,Delivered,Monthly-Pre-paid,96.89,No,Good,
DBW00031,2022-11-25,Friday,Malad,Bandra,10.97,DW126,Corporate,Mix,1.43,39,Delivered,Cash,130.07,No,Good,
DBW00032,2022-06-15,Wednesday,Bandra,Borivali,19.26,DW094,Corporate,Non-Veg,1.72,70,Delivered,Monthly-Pre-paid,171.05,Yes,Poor,
DBW00033,2022-03-09,Wednesday,Thane,Goregaon,18.29,DW100,Corporate,Veg,2.22,67,Delivered,Digital,179.93,Yes,Good,
DBW00034,2023-02-09,Thursday,Goregaon,Ghatkopar,12.0,DW118,Residential,Veg,1.72,55,Delivered,Digital,132.31,No,Poor,
DBW00035,2023-10-11,Wednesday,Lower Parel,Sion,18.14,DW040,Residential,Non-Veg,1.5,72,Delivered,Cash,182.17,No,Poor,
DBW00036,2022-02-16,Wednesday,Churchgate,Kurla,9.52,DW033,Corporate,Veg,1.03,34,Delivered,Digital,110.94,No,Average,
DBW00037,2023-09-19,Tuesday,Vikhroli,Chembur,9.98,DW150,Hospital,Veg,1.19,47,Delivered,Monthly-Pre-paid,118.31,No,Excellent,
DBW00038,2023-08-28,Monday,Worli,Thane,10.96,DW101,Residential,Mix,1.96,46,Delivered,Digital,123.93,No,Good,
DBW00039,2022-07-22,Friday,Sion,Bandra,17.73,DW044,Residential,Non-Veg,2.24,72,Delivered,Cash,161.06,No,Good,
DBW00040,2023-04-07,Friday,Lower Parel,Goregaon,8.38,DW097,Corporate,Non-Veg,1.59,43,Delivered,Monthly-Pre-paid,90.21,No,Excellent,
DBW00041,2022-05-01,Sunday,Dadar,Sion,13.24,DW060,Corporate,Veg,2.41,33,Delivered,Digital,132.07,Yes,Average,
DBW00042,2023-07-08,Saturday,Dadar,Goregaon,15.25,DW129,Corporate,Mix,1.33,41,Delivered,Monthly-Pre-paid,153.47,No,Good,
DBW00043,2023-05-27,Saturday,Dadar,Chembur,10.61,DW077,Residential,Non-Veg,1.6,37,Delivered,Monthly-Pre-paid,111.09,Yes,Excellent,
DBW00044,2022-09-16,Friday,Thane,Malad,6.3,DW048,Corporate,Veg,1.65,42,Delivered,Cash,96.9,Yes,Average,
DBW00045,2022-02-19,Saturday,Vikhroli,Bandra,15.93,DW104,Corporate,Mix,2.56,42,Delivered,Cash,143.03,No,Excellent,
DBW00046,2023-12-10,Sunday,Chembur,Churchgate,18.94,DW113,Residential,Veg,1.87,70,Delivered,Monthly-Pre-paid,155.52,Yes,nan,
DBW00047,2022-11-22,Tuesday,Churchgate,Andheri,17.74,DW056,Residential,Non-Veg,0.9,61,Delivered,Cash,201.44,No,Average,
DBW00048,2023-10-14,Saturday,Vikhroli,Malad,9.87,DW113,Residential,Non-Veg,2.28,39,Delivered,Monthly-Pre-paid,96.7,No,Excellent,
DBW00049,2023-05-10,Wednesday,Ghatkopar,Churchgate,16.06,DW036,Residential,Veg,2.72,69,Delivered,Cash,174.96,No,Poor,
DBW00050,2023-07-23,Sunday,Worli,Kurla,9.34,DW036,Residential,Mix,1.68,37,Delivered,Digital,113.83,No,Excellent,
DBW00051,2023-07-09,Sunday,Sion,Churchgate,11.11,DW124,Residential,Mix,1.35,41,Delivered,Cash,107.11,No,Excellent,
DBW00052,2022-05-23,Monday,Ghatkopar,Malad,16.7,DW094,Corporate,Veg,2.23,88,Delayed,Monthly-Pre-paid,161.59,Yes,Good,
DBW00053,2022-09-23,Friday,Dadar,Thane,8.14,DW006,Corporate,Veg,2.78,44,Delivered,Digital,90.91,No,Excellent,
DBW00054,2022-12-07,Wednesday,Worli,Ghatkopar,19.79,DW102,Corporate,Veg,2.22,82,Delivered,Monthly-Pre-paid,193.66,No,Poor,
DBW00055,2022-12-30,Friday,Kurla,Bandra,12.46,DW046,Corporate,Non-Veg,0.99,52,Delivered,Cash,118.18,No,nan,
DBW00056,2022-02-01,Tuesday,Kurla,Churchgate,9.9,DW042,Residential,Non-Veg,2.18,53,Delivered,Cash,106.58,No,Average,
DBW00057,2023-02-03,Friday,Borivali,Vikhroli,5.59,DW064,Residential,Non-Veg,2.0,42,Delivered,Digital,74.17,No,Good,
DBW00058,2022-04-23,Saturday,Andheri,Malad,0.5,DW068,Corporate,Veg,1.32,8,Delivered,Cash,50.53,No,Good,
DBW00059,2023-06-27,Tuesday,Andheri,Lower Parel,12.55,DW134,Residential,Mix,2.44,49,Delivered,Digital,124.22,No,Good,
DBW00060,2023-05-14,Sunday,Dadar,Ghatkopar,8.01,DW066,Residential,Non-Veg,2.02,30,Delivered,Monthly-Pre-paid,79.44,Yes,Excellent,
DBW00061,2023-11-05,Sunday,Chembur,Sion,10.54,DW045,Residential,Non-Veg,2.46,34,Delivered,Digital,106.12,No,nan,
DBW00062,2023-06-28,Wednesday,Thane,Dadar,9.95,DW117,School,Non-Veg,1.27,32,Delivered,Monthly-Pre-paid,115.09,No,Excellent,
DBW00063,2022-09-25,Sunday,Dadar,Borivali,11.19,DW082,Corporate,Mix,2.0,44,Delivered,Cash,92.95,No,Good,
DBW00064,2023-12-08,Friday,Borivali,Sion,2.68,DW001,Corporate,Veg,1.35,43,Delivered,Cash,69.43,No,Average,
DBW00065,2022-10-27,Thursday,Dadar,Lower Parel,7.64,DW095,Corporate,Mix,1.92,43,Delivered,Cash,91.44,No,Average,
DBW00066,2022-08-26,Friday,Lower Parel,Churchgate,14.54,DW076,Residential,Non-Veg,2.54,67,Delivered,Digital,152.78,No,nan,
DBW00067,2023-10-24,Tuesday,Dadar,Worli,13.78,DW087,Corporate,Non-Veg,1.09,43,Delivered,Digital,143.56,Yes,nan,
DBW00068,2022-09-28,Wednesday,Lower Parel,Borivali,15.72,DW028,Hospital,Veg,1.12,51,Delivered,Digital,145.74,Yes,Good,
DBW00069,2022-02-25,Friday,Ghatkopar,Malad,16.99,DW072,Corporate,Mix,2.28,72,Delivered,Cash,149.72,Yes,nan,
DBW00070,2022-12-09,Friday,Goregaon,Goregaon,0.5,DW098,Residential,Mix,1.79,36,Delivered,Digital,23.49,No,nan,
DBW00071,2023-08-04,Friday,Churchgate,Dadar,12.94,DW102,Residential,Non-Veg,2.39,54,Delivered,Monthly-Pre-paid,110.89,No,Poor,
DBW00072,2022-05-19,Thursday,Bandra,Malad,10.46,DW103,Corporate,Mix,1.4,47,Delivered,Cash,118.87,No,nan,
DBW00073,2022-12-04,Sunday,Bandra,Sion,16.93,DW150,Residential,Mix,1.83,63,Delivered,Monthly-Pre-paid,162.98,No,Good,
DBW00074,2022-04-05,Tuesday,Andheri,Malad,1.73,DW076,Residential,Mix,2.14,42,Delayed,Cash,20.83,No,Excellent,
DBW00075,2023-05-17,Wednesday,Malad,Ghatkopar,15.82,DW065,Residential,Veg,1.91,57,Delivered,Monthly-Pre-paid,147.31,No,Poor,
DBW00076,2022-12-14,Wednesday,Borivali,Worli,6.83,DW082,Residential,Mix,0.91,40,Delivered,Monthly-Pre-paid,94.42,Yes,Good,
DBW00077,2022-08-30,Tuesday,Worli,Thane,10.9,DW050,Residential,Veg,3.21,45,Delivered,Digital,136.62,Yes,nan,
DBW00078,2022-06-15,Wednesday,Ghatkopar,Lower Parel,5.14,DW048,Corporate,Non-Veg,1.91,36,Delivered,Cash,51.84,No,Good,
DBW00079,2023-02-17,Friday,Vikhroli,Kurla,2.9,DW104,Residential,Veg,1.13,29,Delivered,Digital,85.62,No,Good,
DBW00080,2023-05-04,Thursday,Andheri,Sion,10.08,DW047,Corporate,Veg,1.96,52,Delivered,Digital,96.22,Yes,Poor,
DBW00081,2023-11-18,Saturday,Malad,Sion,12.97,DW113,Corporate,Mix,2.01,63,Delayed,Digital,108.23,Yes,Good,
DBW00082,2022-11-16,Wednesday,Dadar,Sion,10.18,DW112,Corporate,Non-Veg,2.3,42,Delivered,Digital,137.8,No,Excellent,
DBW00083,2022-04-28,Thursday,Lower Parel,Thane,14.43,DW144,Residential,Mix,2.26,62,Delivered,Monthly-Pre-paid,129.82,Yes,Average,
DBW00084,2023-08-31,Thursday,Malad,Borivali,12.4,DW020,Corporate,Veg,1.69,50,Delivered,Monthly-Pre-paid,152.06,Yes,Good,
DBW00085,2023-04-05,Wednesday,Bandra,Thane,17.42,DW055,School,Mix,0.94,62,Delivered,Digital,159.4,Yes,Poor,
DBW00086,2023-05-27,Saturday,Thane,Thane,0.5,DW116,Corporate,Mix,2.03,8,Delivered,Monthly-Pre-paid,29.6,Yes,nan,
DBW00087,2022-03-12,Saturday,Sion,Kurla,6.6,DW065,Corporate,Non-Veg,0.98,20,Delivered,Cash,63.21,No,Good,
DBW00088,2022-08-17,Wednesday,Sion,Goregaon,15.88,DW099,Corporate,Veg,2.41,74,Delayed,Monthly-Pre-paid,176.24,No,Average,
DBW00089,2023-07-15,Saturday,Dadar,Thane,9.52,DW111,Corporate,Veg,1.43,37,Delivered,Cash,123.26,Yes,Excellent,
DBW00090,2023-08-31,Thursday,Thane,Chembur,5.43,DW133,Corporate,Non-Veg,2.12,40,Delivered,Digital,63.5,No,Average,
DBW00091,2022-11-14,Monday,Lower Parel,Sion,16.99,DW034,Residential,Non-Veg,1.47,71,Delivered,Monthly-Pre-paid,164.8,No,Good,
DBW00092,2023-08-11,Friday,Goregaon,Dadar,13.25,DW040,Corporate,Non-Veg,1.55,74,Delayed,Cash,145.9,Yes,Good,
DBW00093,2023-09-07,Thursday,Ghatkopar,Kurla,13.46,DW071,Corporate,Veg,1.4,70,Delayed,Digital,130.57,No,Poor,
DBW00094,2022-10-10,Monday,Sion,Dadar,12.22,DW076,Corporate,Non-Veg,2.16,53,Delivered,Cash,148.23,Yes,Good,
DBW00095,2023-10-18,Wednesday,Worli,Vikhroli,8.31,DW136,Corporate,Non-Veg,1.49,40,Delivered,Monthly-Pre-paid,94.91,No,Poor,
DBW00096,2022-07-30,Saturday,Andheri,Churchgate,16.19,DW006,School,Non-Veg,2.18,57,Delivered,Digital,151.7,No,Good,
DBW00097,2022-06-24,Friday,Bandra,Worli,21.33,DW037,Corporate,Veg,1.5,99,Delayed,Cash,176.86,Yes,nan,
DBW00098,2023-05-14,Sunday,Malad,Lower Parel,14.55,DW137,Residential,Non-Veg,1.68,42,Delivered,Cash,127.0,No,Average,
DBW00099,2023-04-10,Monday,Thane,Sion,3.53,DW093,Residential,Mix,1.82,33,Delivered,Cash,67.06,No,Average,
DBW00100,2022-04-13,Wednesday,Lower Parel,Chembur,17.02,DW102,Corporate,Non-Veg,1.88,62,Delivered,Cash,169.72,Yes,Excellent,
DBW00101,2023-08-31,Thursday,Lower Parel,Bandra,10.2,DW038,Hospital,Veg,1.34,33,Delivered,Digital,123.87,Yes,Average,
DBW00102,2022-05-26,Thursday,Malad,Sion,11.48,DW094,Corporate,Mix,2.15,60,Delivered,Cash,113.38,No,Good,
DBW00103,2023-08-11,Friday,Chembur,Ghatkopar,20.4,DW056,Hospital,Veg,1.66,80,Returned,Cash,168.58,No,Average,Damaged
DBW00104,2022-01-06,Thursday,Churchgate,Vikhroli,8.25,DW110,Residential,Mix,2.07,28,Delivered,Digital,88.52,No,Poor,
DBW00105,2023-08-05,Saturday,Kurla,Borivali,5.16,DW014,Corporate,Veg,1.79,22,Delivered,Digital,101.82,No,Average,
DBW00106,2023-07-29,Saturday,Andheri,Kurla,6.54,DW043,Hospital,Veg,2.09,25,Delivered,Digital,67.84,No,Good,
DBW00107,2023-07-24,Monday,Borivali,Thane,4.84,DW097,Corporate,Non-Veg,1.59,23,Delivered,Digital,68.16,Yes,Poor,
DBW00108,2023-05-01,Monday,Thane,Lower Parel,15.37,DW091,School,Mix,1.41,55,Delivered,Monthly-Pre-paid,116.78,No,Average,
DBW00109,2022-12-11,Sunday,Andheri,Lower Parel,12.72,DW127,School,Non-Veg,2.01,41,Delivered,Digital,123.96,Yes,Average,
DBW00110,2023-05-30,Tuesday,Andheri,Borivali,11.17,DW121,Corporate,Veg,1.55,51,Delivered,Digital,113.13,No,nan,
DBW00111,2022-07-22,Friday,Kurla,Dadar,7.24,DW003,Corporate,Mix,2.53,50,Delivered,Digital,92.88,Yes,Excellent,
DBW00112,2023-07-24,Monday,Chembur,Borivali,10.72,DW014,Hospital,Veg,1.83,55,Delivered,Cash,110.99,Yes,Good,
DBW00113,2023-02-10,Friday,Sion,Goregaon,16.89,DW054,Corporate,Non-Veg,1.11,57,Delivered,Monthly-Pre-paid,142.32,No,Excellent,
DBW00114,2022-12-02,Friday,Andheri,Ghatkopar,13.89,DW144,Residential,Veg,1.51,62,Delivered,Digital,131.16,Yes,Average,
DBW00115,2023-01-05,Thursday,Ghatkopar,Andheri,15.83,DW072,Corporate,Mix,1.3,62,Delivered,Digital,153.6,No,Good,
DBW00116,2023-02-20,Monday,Ghatkopar,Vikhroli,15.34,DW134,Corporate,Non-Veg,2.34,59,Delivered,Digital,137.77,Yes,Average,
DBW00117,2022-01-28,Friday,Kurla,Lower Parel,10.46,DW009,Residential,Veg,2.19,52,Delivered,Digital,100.91,No,Excellent,
DBW00118,2022-04-13,Wednesday,Lower Parel,Kurla,13.45,DW145,Residential,Non-Veg,1.77,57,Delivered,Monthly-Pre-paid,152.69,No,Average,
DBW00119,2022-06-29,Wednesday,Chembur,Churchgate,20.32,DW010,Residential,Veg,1.95,88,Delayed,Digital,183.16,No,Excellent,
DBW00120,2022-03-25,Friday,Worli,Malad,14.77,DW122,Residential,Non-Veg,1.76,64,Delivered,Digital,154.79,No,Good,
DBW00121,2022-11-17,Thursday,Lower Parel,Thane,13.33,DW132,Corporate,Non-Veg,2.23,57,Delivered,Cash,134.02,No,Good,
DBW00122,2023-05-03,Wednesday,Vikhroli,Andheri,8.5,DW045,Corporate,Mix,2.06,32,Delivered,Cash,79.54,Yes,Average,
DBW00123,2023-04-23,Sunday,Kurla,Malad,7.23,DW046,Corporate,Mix,2.15,19,Delivered,Monthly-Pre-paid,82.84,Yes,Good,
DBW00124,2022-12-10,Saturday,Sion,Sion,1.59,DW088,Corporate,Non-Veg,1.7,9,Delivered,Monthly-Pre-paid,47.09,Yes,Average,
DBW00125,2023-09-17,Sunday,Ghatkopar,Worli,18.37,DW109,Corporate,Veg,1.48,58,Delivered,Monthly-Pre-paid,203.0,Yes,Excellent,
DBW00126,2023-02-17,Friday,Lower Parel,Ghatkopar,5.59,DW019,Residential,Veg,2.13,64,Delayed,Digital,63.14,Yes,Average,
DBW00127,2022-02-27,Sunday,Ghatkopar,Malad,13.01,DW036,Corporate,Non-Veg,2.58,42,Delivered,Monthly-Pre-paid,132.79,No,Good,
DBW00128,2023-07-13,Thursday,Malad,Sion,10.5,DW114,Corporate,Non-Veg,2.35,54,Delivered,Digital,127.61,Yes,Excellent,
DBW00129,2023-02-24,Friday,Worli,Kurla,9.43,DW122,Residential,Non-Veg,2.59,53,Delivered,Cash,124.37,No,Poor,
DBW00130,2023-04-09,Sunday,Dadar,Worli,15.1,DW024,Corporate,Mix,1.88,52,Delayed,Cash,141.04,No,nan,
DBW00131,2023-02-17,Friday,Churchgate,Goregaon,10.67,DW134,School,Mix,1.32,57,Delayed,Digital,112.99,No,Excellent,
DBW00132,2023-02-09,Thursday,Sion,Malad,11.82,DW131,Corporate,Non-Veg,1.36,57,Returned,Digital,141.24,No,Excellent,Wrong Address
DBW00133,2022-03-08,Tuesday,Malad,Worli,14.6,DW131,Corporate,Veg,2.49,61,Delivered,Cash,154.45,Yes,Average,
DBW00134,2023-02-13,Monday,Sion,Chembur,11.9,DW037,Hospital,Non-Veg,0.87,56,Delivered,Cash,140.69,No,nan,
DBW00135,2023-08-04,Friday,Andheri,Thane,8.21,DW101,Residential,Veg,2.55,50,Delivered,Digital,113.27,No,Good,
DBW00136,2022-08-10,Wednesday,Ghatkopar,Lower Parel,2.17,DW025,Hospital,Non-Veg,1.41,30,Delivered,Monthly-Pre-paid,55.64,No,Average,
DBW00137,2023-03-17,Friday,Ghatkopar,Borivali,17.52,DW030,Corporate,Non-Veg,2.76,77,Delivered,Cash,172.29,No,Excellent,
DBW00138,2022-01-23,Sunday,Bandra,Worli,21.79,DW011,Corporate,Non-Veg,1.76,57,Delivered,Cash,194.28,No,Excellent,
DBW00139,2022-09-11,Sunday,Borivali,Vikhroli,5.15,DW074,Residential,Non-Veg,2.16,33,Delivered,Digital,67.53,Yes,Excellent,
DBW00140,2022-11-15,Tuesday,Sion,Ghatkopar,18.11,DW107,Corporate,Veg,2.99,65,Delivered,Cash,172.25,Yes,Average,
DBW00141,2023-12-19,Tuesday,Worli,Dadar,13.74,DW030,Residential,Veg,1.63,56,Delivered,Monthly-Pre-paid,157.88,No,Good,
DBW00142,2022-06-06,Monday,Borivali,Malad,12.2,DW028,Corporate,Mix,1.63,47,Delivered,Digital,130.24,No,Average,
DBW00143,2022-07-21,Thursday,Chembur,Churchgate,18.88,DW042,Corporate,Non-Veg,1.45,70,Delivered,Digital,183.86,No,Excellent,
DBW00144,2022-10-26,Wednesday,Goregaon,Borivali,15.78,DW030,Corporate,Veg,1.3,61,Delivered,Digital,141.34,No,Excellent,
DBW00145,2023-12-26,Tuesday,Churchgate,Sion,11.54,DW125,Residential,Mix,1.64,35,Delivered,Cash,140.43,Yes,Good,
DBW00146,2023-09-15,Friday,Kurla,Borivali,7.33,DW026,Corporate,Veg,1.52,38,Delivered,Cash,77.12,No,Good,
DBW00147,2022-01-26,Wednesday,Vikhroli,Borivali,4.99,DW042,School,Non-Veg,1.17,25,Delivered,Digital,65.68,No,Good,
DBW00148,2022-06-20,Monday,Bandra,Ghatkopar,7.93,DW046,Corporate,Mix,1.69,34,Delivered,Monthly-Pre-paid,113.11,Yes,Average,
DBW00149,2023-08-23,Wednesday,Churchgate,Churchgate,0.5,DW031,Residential,Non-Veg,2.02,26,Delivered,Monthly-Pre-paid,47.3,Yes,Good,
DBW00150,2022-02-12,Saturday,Malad,Kurla,4.98,DW142,Corporate,Mix,1.35,28,Delivered,Digital,57.07,No,Poor,
DBW00151,2023-09-17,Sunday,Borivali,Churchgate,9.15,DW032,Residential,Non-Veg,1.72,47,Returned,Digital,87.02,Yes,Average,nan
DBW00152,2022-07-25,Monday,Malad,Chembur,2.95,DW073,Hospital,Non-Veg,2.5,55,Delayed,Monthly-Pre-paid,50.54,Yes,Good,
DBW00153,2023-11-01,Wednesday,Andheri,Bandra,8.82,DW085,Residential,Non-Veg,1.09,36,Delivered,Cash,91.9,No,Poor,
DBW00154,2022-08-03,Wednesday,Dadar,Andheri,4.71,DW040,Corporate,Non-Veg,2.77,35,Delivered,Cash,45.64,No,Good,
DBW00155,2022-11-14,Monday,Borivali,Andheri,10.74,DW071,Residential,Non-Veg,1.46,47,Delivered,Digital,104.61,Yes,Good,
DBW00156,2023-04-29,Saturday,Andheri,Dadar,7.52,DW026,Corporate,Mix,1.9,47,Delayed,Digital,48.94,No,Average,
DBW00157,2022-04-03,Sunday,Churchgate,Malad,16.91,DW073,Residential,Mix,2.44,53,Delivered,Monthly-Pre-paid,178.81,Yes,nan,
DBW00158,2023-02-11,Saturday,Andheri,Churchgate,16.55,DW003,Residential,Non-Veg,2.59,56,Delivered,Digital,175.03,Yes,Excellent,
DBW00159,2023-01-04,Wednesday,Thane,Churchgate,10.38,DW066,Corporate,Non-Veg,2.03,54,Delivered,Monthly-Pre-paid,134.18,Yes,Excellent,
DBW00160,2023-07-27,Thursday,Worli,Kurla,9.25,DW055,Residential,Non-Veg,1.45,44,Delivered,Digital,109.32,No,Poor,
DBW00161,2023-12-29,Friday,Lower Parel,Churchgate,13.2,DW053,Residential,Mix,1.41,62,Delivered,Digital,128.89,No,Good,
DBW00162,2023-04-30,Sunday,Lower Parel,Ghatkopar,4.03,DW017,Corporate,Non-Veg,1.51,23,Delivered,Cash,77.61,Yes,Poor,
DBW00163,2022-10-26,Wednesday,Lower Parel,Ghatkopar,1.68,DW150,Corporate,Non-Veg,2.74,33,Delivered,Cash,32.95,No,Good,
DBW00164,2022-10-24,Monday,Churchgate,Borivali,9.03,DW005,Corporate,Non-Veg,1.61,33,Delivered,Cash,82.38,Yes,nan,
DBW00165,2022-11-02,Wednesday,Lower Parel,Churchgate,13.11,DW022,Residential,Non-Veg,1.96,71,Returned,Cash,132.65,Yes,Excellent,nan
DBW00166,2023-08-18,Friday,Andheri,Vikhroli,9.85,DW016,Residential,Non-Veg,1.28,53,Delivered,Monthly-Pre-paid,115.0,Yes,nan,
DBW00167,2022-08-23,Tuesday,Worli,Andheri,15.03,DW147,Corporate,Mix,1.22,48,Delivered,Digital,138.04,No,Average,
DBW00168,2022-05-02,Monday,Thane,Churchgate,10.15,DW048,Corporate,Mix,1.81,52,Delivered,Monthly-Pre-paid,95.48,No,nan,
DBW00169,2022-09-02,Friday,Kurla,Goregaon,15.58,DW065,Corporate,Veg,1.64,71,Delivered,Cash,148.43,No,Excellent,
DBW00170,2022-01-17,Monday,Thane,Churchgate,11.29,DW113,Corporate,Veg,1.67,57,Delivered,Cash,126.53,Yes,Good,
DBW00171,2022-03-19,Saturday,Vikhroli,Bandra,14.62,DW008,Corporate,Mix,1.06,54,Delivered,Cash,144.76,No,Excellent,
DBW00172,2022-03-07,Monday,Worli,Kurla,7.13,DW011,Corporate,Veg,1.76,38,Delivered,Cash,126.61,No,Poor,
DBW00173,2023-07-18,Tuesday,Malad,Chembur,3.83,DW028,Corporate,Non-Veg,2.57,34,Delivered,Cash,58.61,Yes,Good,
DBW00174,2023-06-12,Monday,Lower Parel,Chembur,19.54,DW102,Residential,Non-Veg,1.37,75,Delivered,Cash,197.61,No,Good,
DBW00175,2023-05-24,Wednesday,Sion,Churchgate,9.67,DW147,Residential,Veg,2.25,47,Delivered,Cash,85.6,No,Excellent,
DBW00176,2022-12-04,Sunday,Sion,Lower Parel,17.11,DW094,Corporate,Non-Veg,0.5,50,Delivered,Digital,175.65,No,Average,
DBW00177,2023-06-08,Thursday,Thane,Kurla,2.15,DW131,Residential,Non-Veg,1.4,14,Delivered,Monthly-Pre-paid,40.29,No,Average,
DBW00178,2022-04-28,Thursday,Vikhroli,Dadar,5.5,DW133,Corporate,Mix,0.84,39,Delivered,Cash,73.88,Yes,Excellent,
DBW00179,2023-10-20,Friday,Thane,Borivali,6.28,DW042,Corporate,Mix,2.42,40,Delivered,Monthly-Pre-paid,105.52,Yes,Average,
DBW00180,2023-01-01,Sunday,Malad,Bandra,9.84,DW028,School,Mix,2.24,40,Delivered,Monthly-Pre-paid,103.11,No,Excellent,
DBW00181,2023-11-16,Thursday,Dadar,Bandra,6.93,DW025,Residential,Non-Veg,1.28,45,Delivered,Cash,65.8,No,nan,
DBW00182,2022-04-22,Friday,Malad,Borivali,10.72,DW120,Corporate,Mix,1.94,53,Delivered,Cash,98.46,Yes,Poor,
DBW00183,2022-12-30,Friday,Ghatkopar,Borivali,19.69,DW101,Corporate,Mix,2.4,67,Delivered,Cash,190.08,No,Excellent,
